,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Berlevåg,70.86,29.09,41.0,93,75,6.93,NO,1593380455
119,Saldanha,-33.01,17.94,57.02,68,40,3.94,ZA,1593380455
120,Derzhavīnsk,51.1,66.32,54.88,81,95,6.11,KZ,1593380455
121,Tungor,53.38,142.96,46.78,95,100,1.5,RU,1593380455
122,Bethel,41.37,-73.41,78.01,83,75,0.69,US,1593380184
123,Ancud,-41.87,-73.82,46.99,100,90,3.36,CL,1593380456
124,Butaritari,3.07,172.79,82.87,72,69,13.82,KI,1593380194
125,Longyearbyen,78.22,15.64,42.8,56,40,11.41,SJ,1593380456
126,Cape Town,-33.93,18.42,55.99,87,75,2.24,ZA,1593380322
127,São Filipe,14.9,-24.5,75.97,74,2,15.3,CV,1593380456
128,Cidreira,-30.18,-50.21,55.09,64,0,7.31,BR,1593380456
129,Soyo,-6.13,12.37,72.48,83,0,7.9,AO,1593380456
130,Hermanus,-34.42,19.23,57.0,80,34,3.0,ZA,1593380456
131,Felipe Carrillo Puerto,19.58,-88.05,89.73,55,71,7.14,MX,1593380456
132,Makakilo City,21.35,-158.09,84.2,62,1,10.29,US,1593380182
133,Quatre Cocos,-20.21,57.76,71.6,83,40,5.82,MU,1593380456
134,Kapoeta,4.77,33.59,77.65,52,0,3.89,SS,1593380456
135,Codrington,-38.27,141.97,40.98,85,9,5.97,AU,1593380457
136,Labuhan,-6.88,112.21,75.87,85,1,4.99,ID,1593380457
137,Mandalgovi,45.76,106.27,60.66,70,80,14.36,MN,1593380457
138,Cayenne,4.93,-52.33,77.0,100,79,1.12,GF,1593380457
139,Kattivākkam,13.22,80.32,80.6,83,40,3.36,IN,1593380251
140,Pevek,69.7,170.31,31.93,99,100,16.11,RU,1593380457
141,Grindavik,63.84,-22.43,51.8,100,75,11.41,IS,1593380457
142,Pierre,44.37,-100.35,95.0,38,1,13.87,US,1593380255
143,Torbay,47.67,-52.73,68.0,88,75,6.93,CA,1593380457
144,Hambantota,6.12,81.12,81.95,79,20,17.43,LK,1593380457
145,Kulhudhuffushi,6.62,73.07,82.99,80,5,16.26,MV,1593380457
146,General Roca,-39.03,-67.58,39.2,93,75,3.36,AR,1593380226
147,Kalach-na-Donu,48.69,43.53,69.01,52,90,1.86,RU,1593380457
148,Tilichiki,60.47,166.1,55.0,59,81,4.43,RU,1593380457
149,Gladstone,-23.85,151.25,57.2,82,61,4.7,AU,1593380458
150,Jonava,55.08,24.28,64.4,82,41,2.39,LT,1593380458
151,Cherskiy,68.75,161.3,48.47,55,44,10.85,RU,1593380180
152,Krasnosel'kup,65.7,82.47,59.76,79,83,19.71,RU,1593380458
153,Lata,40.16,-8.33,69.01,84,7,3.36,PT,1593380458
154,La Orilla,17.98,-102.23,86.31,61,29,10.47,MX,1593380458
155,Vaitape,-16.52,-151.75,77.18,73,100,20.67,PF,1593380458
156,Mikhaylovka,50.06,43.24,70.0,72,95,5.01,RU,1593380458
157,Faanui,-16.48,-151.75,76.39,75,100,20.58,PF,1593380458
158,Matara,5.95,80.54,79.9,86,56,11.01,LK,1593380458
159,Khipro,25.83,69.38,86.13,69,0,21.16,PK,1593380458
160,Atbasar,51.8,68.33,53.06,81,52,6.8,KZ,1593380458
161,Saint George,37.1,-113.58,98.6,12,1,35.57,US,1593380162
162,Durban,-29.86,31.03,66.0,72,20,3.36,ZA,1593380200
163,Williamsburg,37.27,-76.71,86.0,66,20,4.7,US,1593380328
164,Sørland,67.67,12.69,55.42,81,62,17.74,NO,1593380459
165,Khovd,48.01,91.64,64.78,45,25,3.02,MN,1593380186
166,Santa Maria,-29.68,-53.81,59.0,72,44,11.41,BR,1593380287
167,Eydhafushi,5.1,73.07,83.12,79,11,14.07,MV,1593380459
168,Manokwari,-0.87,134.08,78.98,68,61,4.92,ID,1593380459
169,Lavrentiya,65.58,-171.0,41.27,72,46,15.01,RU,1593380459
170,Lalibela,12.03,39.03,59.13,74,0,0.67,ET,1593380459
171,Bahía Blanca,-38.72,-62.27,43.48,63,95,11.1,AR,1593380237
172,Saint Paul Harbor,57.79,-152.41,57.2,58,90,10.29,US,1593380459
173,Yar-Sale,66.83,70.83,53.04,65,95,17.02,RU,1593380459
174,Okhotsk,59.38,143.3,52.68,76,0,6.06,RU,1593380459
175,Sadovoye,47.78,44.51,74.34,43,34,7.99,RU,1593380459
176,El Alto,-4.27,-81.21,67.96,76,9,14.23,PE,1593380460
177,Mengcheng,33.26,116.57,72.59,96,97,12.5,CN,1593380460
178,Matonga,-2.38,34.08,70.11,52,67,2.53,TZ,1593380460
179,Sri Aman,1.24,111.46,77.0,94,100,1.12,MY,1593380460
180,Sioux Lookout,50.1,-91.92,86.0,40,40,11.41,CA,1593380460
181,Fukuechō,32.69,128.84,74.89,76,77,6.82,JP,1593380460
182,Cochrane,51.18,-114.47,55.4,76,40,13.87,CA,1593380205
183,Strogonovka,44.94,34.2,63.59,57,0,3.4,UA,1593380460
184,Hong Kong,22.29,114.16,84.0,74,99,4.0,HK,1593380451
185,Santo Domingo,18.5,-69.99,82.4,88,75,6.93,DO,1593380400
186,Barcelona,41.39,2.16,77.0,83,0,6.93,ES,1593380295
187,Mackay,-21.15,149.2,62.6,93,40,11.41,AU,1593380461
188,Esil,51.96,66.4,55.15,74,87,7.96,KZ,1593380461
189,Fairbanks,64.84,-147.72,68.0,40,75,9.17,US,1593380407
190,Severo-Kuril'sk,50.68,156.12,52.86,61,100,1.41,RU,1593380461
191,Kahului,20.89,-156.47,89.6,52,20,18.34,US,1593380461
192,Port Elizabeth,-33.92,25.57,57.2,62,26,12.75,ZA,1593380188
193,Chernyshevskiy,63.01,112.47,67.59,59,87,4.38,RU,1593380231
194,Nador,35.17,-2.93,75.2,64,0,4.7,MA,1593380461
195,Kaitangata,-46.28,169.85,44.01,82,100,3.0,NZ,1593380461
196,Novobirilyussy,56.95,90.67,52.48,89,47,3.98,RU,1593380461
197,Viedma,-40.81,-63.0,41.5,77,100,4.56,AR,1593380461
198,Española,35.99,-106.08,84.99,11,40,14.99,US,1593380461
199,Chutove,49.71,35.16,66.83,85,53,6.24,UA,1593380462
200,Port Hardy,50.7,-127.42,68.0,60,20,12.75,CA,1593380462
201,Talcahuano,-36.72,-73.12,53.6,87,75,13.87,CL,1593380418
202,Kohtla-Järve,59.4,27.27,58.87,66,0,12.46,EE,1593380462
203,Mbanza-Ngungu,-5.25,14.87,70.29,60,0,5.32,CD,1593380462
204,Isangel,-19.55,169.27,71.6,78,90,13.15,VU,1593380462
205,Fortuna,40.6,-124.16,64.0,59,1,24.16,US,1593380462
206,Germantown,39.17,-77.27,86.0,62,1,11.41,US,1593380271
207,Bilma,18.69,12.92,86.92,13,0,5.61,NE,1593380462
208,Bengkulu,-3.8,102.27,76.15,87,63,4.99,ID,1593380462
209,Saint Anthony,45.02,-93.22,87.01,51,40,12.75,US,1593380462
210,São Miguel do Araguaia,-13.28,-50.16,78.01,44,12,4.54,BR,1593380463
211,Laguna,38.42,-121.42,82.0,36,1,11.41,US,1593380285
212,Alzamay,55.56,98.66,62.44,95,100,9.01,RU,1593380463
213,Beloha,-25.17,45.05,63.3,93,0,3.96,MG,1593380463
214,Shillong,25.57,91.88,64.2,100,93,3.87,IN,1593380463
215,Micheweni,-4.97,39.83,76.19,87,6,10.27,TZ,1593380463
216,Alice Springs,-23.7,133.88,33.8,59,0,5.82,AU,1593380198
217,Ust-Maya,60.42,134.53,74.52,50,0,1.32,RU,1593380463
218,Hamilton,39.18,-84.53,84.99,69,1,4.7,US,1593380240
219,Rongcheng,30.63,117.85,76.93,92,96,6.15,CN,1593380463
220,Ensley,30.52,-87.27,91.0,70,20,10.29,US,1593380463
221,Pisco,-13.7,-76.22,64.4,77,20,8.05,PE,1593380203
222,Giohar,2.78,45.5,76.24,88,85,12.15,SO,1593380464
223,Auch,43.65,0.58,73.99,79,58,4.99,FR,1593380464
224,La Ronge,55.1,-105.28,68.0,68,90,6.93,CA,1593380464
225,Khilok,51.37,110.47,58.48,86,44,1.32,RU,1593380464
226,Kavaratti,10.57,72.64,83.95,79,100,20.4,IN,1593380464
227,Sabang,5.89,95.32,82.09,78,25,11.65,ID,1593380464
228,Coyhaique,-45.58,-72.07,32.0,95,90,3.36,CL,1593380464
229,São João da Barra,-21.64,-41.05,71.6,78,20,8.28,BR,1593380231
230,Plettenberg Bay,-34.05,23.37,54.97,73,30,10.89,ZA,1593380222
231,Yelizovo,53.19,158.38,62.6,63,45,2.24,RU,1593380464
232,Yueyang,29.33,113.09,74.08,98,100,5.66,CN,1593380464
233,Amazar,53.86,120.88,61.93,83,17,1.97,RU,1593380464
234,Avera,33.19,-82.53,93.2,49,40,10.29,US,1593380465
235,Khatanga,71.97,102.5,81.0,34,3,15.95,RU,1593380465
236,Vao,-22.67,167.48,69.1,54,0,8.16,NC,1593380465
237,Paulista,-7.94,-34.87,73.4,94,75,5.82,BR,1593380204
238,Shingū,33.73,135.98,71.73,71,0,4.83,JP,1593380465
239,Sampang,-7.19,113.24,77.97,83,49,3.31,ID,1593380465
240,Gōtsuchō,35.0,132.22,71.37,84,52,3.15,JP,1593380465
241,Paita,-5.09,-81.11,67.75,76,0,16.31,PE,1593380465
242,Devils Lake,48.11,-98.87,87.8,52,1,21.92,US,1593380465
243,San Patricio,19.22,-104.7,87.12,63,68,14.36,MX,1593380221
244,Chui,-33.7,-53.46,47.03,81,47,3.89,UY,1593380465
245,Portland,45.52,-122.68,68.0,48,75,12.75,US,1593380142
246,Touros,-5.2,-35.46,77.0,88,20,8.05,BR,1593380219
247,Vitina,43.24,17.48,77.0,57,8,1.12,BA,1593380466
248,Luancheng,37.88,114.65,69.8,94,90,4.47,CN,1593380466
249,Ambilobe,-13.2,49.05,70.03,87,1,3.24,MG,1593380466
250,Te Anau,-45.42,167.72,40.93,86,98,1.74,NZ,1593380466
251,Boden,65.83,21.69,59.0,62,18,2.24,SE,1593380466
252,Kysyl-Syr,63.9,122.76,72.72,54,71,6.04,RU,1593380466
253,Los Llanos de Aridane,28.66,-17.92,73.4,78,75,17.22,ES,1593380466
254,Norman Wells,65.28,-126.83,73.4,28,40,5.82,CA,1593380183
255,Askiz,53.13,90.53,58.23,89,100,2.66,RU,1593380184
256,Monmouth,40.3,-74.17,91.0,66,1,9.17,US,1593380466
257,Waipawa,-41.41,175.52,50.0,93,94,1.12,NZ,1593380466
258,Lodja,-3.48,23.43,73.69,81,51,1.66,CD,1593380467
259,Olafsvik,64.89,-23.71,53.98,85,100,13.8,IS,1593380467
260,Ubon Ratchathani,15.22,104.85,78.8,88,20,3.36,TH,1593380467
261,Paamiut,61.99,-49.67,40.48,87,57,11.65,GL,1593380467
262,Cañon City,38.44,-105.24,96.8,52,1,3.36,US,1593380372
263,Andenes,69.31,16.12,46.4,93,0,26.4,NO,1593380467
264,Richmond,37.55,-77.46,87.01,74,75,5.82,US,1593380401
265,Kuril'sk,45.23,147.88,48.45,92,100,7.4,RU,1593380467
266,Itajubá,-22.43,-45.45,55.06,83,9,3.76,BR,1593380467
267,Half Moon Bay,37.46,-122.43,69.01,52,20,14.99,US,1593380201
268,Hofn,64.25,-15.21,54.5,68,100,19.26,IS,1593380467
269,Vung Tau,10.35,107.08,80.83,80,100,8.7,VN,1593380467
270,Tura,25.52,90.22,73.38,97,98,6.08,IN,1593380468
271,Puerto Baquerizo Moreno,-0.9,-89.6,77.0,73,20,17.22,EC,1593380408
272,Tabon,9.24,117.99,77.72,84,100,5.61,PH,1593380468
273,Tautira,-17.73,-149.15,82.4,54,40,5.82,PF,1593380196
274,Namatanai,-3.67,152.43,82.33,76,43,7.43,PG,1593380468
275,Wodzisław Śląski,50.0,18.47,71.01,89,0,3.0,PL,1593380468
276,Malé,4.17,73.51,83.08,79,48,12.71,MV,1593380468
277,Ibanda,-2.8,32.47,71.47,46,84,3.06,TZ,1593380468
278,Taltal,-25.4,-70.48,58.28,72,77,2.62,CL,1593380468
279,Hūn,29.13,15.95,81.57,24,0,12.17,LY,1593380468
280,Tarime,-1.35,34.37,62.87,82,72,3.69,TZ,1593380468
281,San Francisco,37.77,-122.42,68.0,52,20,14.99,US,1593380459
282,Eenhana,-17.47,16.33,59.0,38,0,2.24,NA,1593380468
283,Kruisfontein,-34.0,24.73,51.01,77,34,10.92,ZA,1593380469
284,Pakse,15.12,105.78,75.15,93,90,3.49,LA,1593380469
285,Dandong,40.13,124.39,69.46,77,93,2.71,CN,1593380469
286,Ostrovnoy,68.05,39.51,42.94,86,97,9.24,RU,1593380469
287,Ponta Delgada,37.73,-25.67,68.0,88,40,6.93,PT,1593380469
288,Pangkalanbuun,-2.68,111.62,72.57,96,87,2.48,ID,1593380469
289,Alugan,12.22,125.48,79.05,83,100,6.55,PH,1593380469
290,Husavik,66.04,-17.34,59.0,62,4,16.11,IS,1593380469
291,Bredasdorp,-34.53,20.04,57.2,76,8,12.75,ZA,1593380182
292,Hasaki,35.73,140.83,70.0,100,20,3.36,JP,1593380212
293,Qaanaaq,77.48,-69.36,43.56,62,0,1.36,GL,1593380187
294,Russell,32.35,-85.2,91.4,55,75,5.82,US,1593380469
295,Rawson,-43.3,-65.1,41.63,65,100,5.5,AR,1593380228
296,De Aar,-30.65,24.01,39.38,74,0,3.91,ZA,1593380470
297,Huntsville,34.73,-86.59,90.0,66,1,9.17,US,1593380470
298,Forsytheganj,52.63,29.73,61.9,95,0,6.89,BY,1593380470
299,Sampit,-2.53,112.95,73.2,94,92,2.55,ID,1593380470
300,Asău,46.43,26.4,62.01,93,5,5.7,RO,1593380470
301,Raudeberg,61.99,5.14,55.99,91,98,8.5,NO,1593380470
302,Āmol,36.47,52.35,67.55,73,83,5.91,IR,1593380470
303,Walvis Bay,-22.96,14.51,55.0,62,4,5.82,NA,1593380470
304,Guerrero Negro,27.98,-114.06,74.73,54,6,15.99,MX,1593380470
305,Bereda,43.27,-7.54,64.0,100,59,1.99,ES,1593380220
306,Torphins,57.11,-2.62,55.0,87,40,12.75,GB,1593380470
307,Aykhal,66.0,111.5,66.2,55,32,6.71,RU,1593380203
308,Matagami,49.75,-77.63,80.6,39,75,9.17,CA,1593380471
309,Hualmay,-11.1,-77.61,65.17,76,26,10.27,PE,1593380471
310,Maningrida,-12.07,134.27,66.15,93,35,6.04,AU,1593380471
311,Hirado,33.36,129.55,73.99,100,75,6.93,JP,1593380471
312,Barcelos,41.54,-8.62,66.99,93,75,8.05,PT,1593380203
313,Klaksvík,62.23,-6.59,55.4,76,93,20.8,FO,1593380199
314,Smolino,56.28,43.03,57.2,58,20,6.71,RU,1593380471
315,Port Blair,11.67,92.75,82.4,77,100,8.19,IN,1593380195
316,Povenets,62.85,34.83,46.33,79,10,6.15,RU,1593380471
317,Nyurba,63.28,118.33,70.48,61,74,4.92,RU,1593380471
318,Saint-Philippe,-21.36,55.77,66.2,77,40,6.93,RE,1593380472
319,Ola,59.58,151.28,50.9,82,69,5.86,RU,1593380472
320,Geraldton,-28.77,114.6,66.2,68,90,19.46,AU,1593380472
321,Karpathos,35.51,27.21,73.4,83,1,26.4,GR,1593380472
322,Lüderitz,-26.65,15.16,59.0,67,0,13.87,NA,1593380472
323,Todos Santos,23.45,-110.22,82.0,75,100,1.99,MX,1593380472
324,Vila Velha,-20.33,-40.29,71.6,78,75,12.75,BR,1593380241
325,Kushiro,42.98,144.37,54.9,90,96,8.03,JP,1593380472
326,Egvekinot,66.32,-179.17,35.96,81,100,11.23,RU,1593380472
327,Kokkola,63.84,23.13,62.6,51,0,6.93,FI,1593380473
328,Caucayá,-0.19,-74.78,84.58,65,42,1.68,CO,1593380473
329,Faya,18.39,42.45,80.6,19,100,4.7,SA,1593380235
330,Ascension,30.22,-90.9,96.01,52,40,9.17,US,1593380473
331,Mandera,3.94,41.87,80.78,64,6,17.69,KE,1593380473
332,Bambous Virieux,-20.34,57.76,71.6,83,40,5.82,MU,1593380473
333,Fushun,41.86,123.92,68.0,88,100,8.95,CN,1593380473
334,Rudnogorsk,57.26,103.75,61.16,73,28,2.89,RU,1593380473
335,Kalmunai,7.42,81.82,81.45,76,94,5.84,LK,1593380473
336,Kamenka,51.32,42.77,68.0,83,100,6.69,RU,1593380473
337,Khāsh,28.22,61.22,71.65,28,0,1.79,IR,1593380474
338,Cabedelo,-6.98,-34.83,75.2,94,75,12.75,BR,1593380474
339,Puerto Escondido,15.85,-97.07,87.8,70,40,8.05,MX,1593380474
340,Yumen,40.28,97.2,66.56,36,0,6.6,CN,1593380474
341,Lompoc,34.64,-120.46,62.6,77,74,10.29,US,1593380474
342,Thinadhoo,0.53,72.93,84.27,74,1,9.57,MV,1593380474
343,Mahāsamund,21.1,82.1,77.0,94,75,6.93,IN,1593380474
344,Maceió,-9.67,-35.74,71.6,100,75,2.24,BR,1593380406
345,Lichtenburg,-26.15,26.16,43.77,60,0,4.74,ZA,1593380474
346,Henties Bay,-22.12,14.28,55.0,87,0,8.14,NA,1593380185
347,Awjilah,29.11,21.29,78.44,47,0,14.07,LY,1593380474
348,Kamaishi,39.27,141.88,64.92,85,60,2.55,JP,1593380474
349,South Shields,55.0,-1.43,55.99,71,100,10.29,GB,1593380475
350,Lagoa,39.05,-27.98,67.77,93,0,8.48,PT,1593380475
351,Bat Khela,34.62,71.97,79.45,34,0,6.44,PK,1593380475
352,Luwingu,-10.26,29.93,65.14,53,88,6.31,ZM,1593380475
353,Qaqortoq,60.72,-46.03,53.6,58,82,12.75,GL,1593380296
354,Açu,-5.58,-36.91,79.52,71,89,10.49,BR,1593380475
355,Eyl,7.98,49.82,82.24,66,2,23.4,SO,1593380475
356,Imeni Poliny Osipenko,52.42,136.49,53.82,78,13,8.34,RU,1593380475
357,Kaeo,-35.1,173.78,57.99,3,0,8.01,NZ,1593380475
358,Byron Bay,-28.65,153.62,50.0,93,75,5.82,AU,1593380475
359,Huntington,38.42,-82.45,77.0,88,90,6.93,US,1593380436
360,Sungai Penuh,-2.08,101.38,64.8,93,62,1.83,ID,1593380475
361,Sekoma,-24.4,23.88,47.01,49,0,6.31,BW,1593380475
362,Japura,-0.32,102.35,74.1,93,32,2.13,ID,1593380476
363,Ban Nahin,18.24,104.21,77.56,85,41,1.43,LA,1593380476
364,Mahon,39.89,4.27,71.6,83,0,3.36,ES,1593380476
365,Manavālakurichi,8.13,77.3,80.6,88,40,5.82,IN,1593380476
366,Santiago,-33.46,-70.65,57.2,62,90,3.24,CL,1593380245
367,Serebryansk,49.69,83.29,48.2,81,75,2.24,KZ,1593380476
368,Laas,46.62,10.7,62.6,88,84,10.29,IT,1593380476
369,Grand Forks,47.93,-97.03,89.6,46,75,20.8,US,1593380395
370,Richards Bay,-28.78,32.04,63.41,67,0,5.97,ZA,1593380229
371,Teya,60.38,92.63,56.35,87,89,2.84,RU,1593380476
372,Souillac,-20.52,57.52,71.6,83,40,5.82,MU,1593380477
373,Stromness,58.97,-3.3,54.0,100,100,12.75,GB,1593380477
